S.No.,Laser power (W),Scan speed (mm/s),Hatch spacing (μm),Melt pool width (μm),Melt pool depth (μm),Cooling Rate,Temperature Gradient,Avg Grain Dia XY (μm),Avg Grain Dia YZ  (μm),Avg Grain Dia XZ  (μm)
1,100,700,0.1,0.126,0.064,1647747,6446408,32.647,32.168,31.87
2,300,700,0.1,0.239,0.227,355937.7,3063411,48.677,62.152,66.987
3,500,700,0.1,0.418,0.405,229391.3,2667833,49.121,95.618,134.971
4,100,700,0.11,0.125,0.064,1688397,6638692,32.02,31.814,31.541
5,300,700,0.11,0.232,0.222,388743.7,3104995,47.955,69.795,70.144
6,500,700,0.11,0.386,0.398,"242,508.70","2,620,113",48.679,83.033,89.704
7,100,700,0.12,0.125,0.064,1717780,6836081,31.962,33.876,31.844
8,300,700,0.12,0.228,0.218,421748.2,3149262,49.388,67.153,67.664
9,500,700,0.12,0.371,0.394,251361.2,2547835,49.92,92.481,89.565
10,100,1100,0.1,0.118,0.043,2986687,8644659,27.246,24.138,24.154
11,300,1100,0.1,0.181,0.136,646045.8,4000612,39.501,46.798,50.078
12,500,1100,0.1,0.289,0.275,311100.7,2971649,43.778,72.981,84.514
13,100,1100,0.11,0.118,0.043,"3,050,949","8,971,584",26.844,23.93,24.33
14,300,1100,0.11,0.176,0.134,699262.5,4074268,39.944,45.794,48.074
15,500,1100,0.11,0.274,0.269,343599.1,3037478,44.933,78.486,67.502
16,100,1100,0.12,0.118,0.043,2860638,8712083,26.572,24.795,24.152
17,300,1100,0.12,0.171,0.133,746286.6,4179730,38.373,47.236,47.398
18,500,1100,0.12,0.271,0.264,379705.7,3074103,44.019,67.251,65.074
19,100,1500,0.1,0.116,0.033,4499427,10557110,22.827,19.518,19.603
20,300,1500,0.1,0.118,0.043,2986687,8644659,34.284,37.67,37.784
21,500,1500,0.1,0.23,0.197,467276.3,3641157,39.976,53.286,56.552
22,100,1500,0.11,0.115,0.033,4621918,10910530,22.342,19.044,18.644
23,300,1500,0.11,0.146,0.098,"1,055,856","4,890,869",33.55,39.025,36.83
24,500,1500,0.11,0.232,0.191,521649.5,3699594,39.178,53.075,54.236
25,100,1500,0.12,0.115,0.034,3997661,10066390,22.571,19.401,19.836
26,300,1500,0.12,0.144,0.097,"1,111,393",5059356,31.981,39.296,38.497
27,500,1500,0.12,0.236,0.185,"576,590.50","3,786,962",39.274,51.499,49.202