S.No.,Laser power (W),Scan speed (mm/s),Hatch spacing (Î¼m),d*,Solid ratio
1,100,700,0.1,2.036231363,0.9995593873
2,300,700,0.1,3.244107837,1.010585494
3,500,700,0.1,3.218160902,1.028827039
4,100,700,0.11,2.121088009,0.9796034885
5,300,700,0.11,3.254520629,1.020728126
6,500,700,0.11,3.268746621,1.030512478
7,100,700,0.12,2.092689687,0.9651935433
8,300,700,0.12,3.25387263,0.9679395723
9,500,700,0.12,3.273882325,0.9852151508
10,100,1100,0.1,1.790804891,0.9926220772
11,300,1100,0.1,2.971177215,0.9875571383
12,500,1100,0.1,2.96180296,0.9656381322
13,100,1100,0.11,1.840956083,0.9409579928
14,300,1100,0.11,3.002057233,1.035687346
15,500,1100,0.11,2.954009201,1.012592072
16,100,1100,0.12,1.845297886,0.9964614166
17,300,1100,0.12,3.029157557,1.00062046
18,500,1100,0.12,2.975318639,0.9864173256
19,100,1500,0.1,1.755975831,0.9639518957
20,300,1500,0.1,1.839083959,0.9981142807
21,500,1500,0.1,2.399436638,1.018377554
22,100,1500,0.11,1.782337962,1.019982053
23,300,1500,0.11,2.378690016,1.036045227
24,500,1500,0.11,2.353087964,1.006457483
25,100,1500,0.12,1.774722463,0.9496759405
26,300,1500,0.13,2.358505895,0.9765803172
27,500,1500,0.12,2.439489536,0.9868293369